id,meterId,assetId,date,datetimeUTC,energy,invalid
105173951,1121,982,2021-03-06 11:00:00,2021-03-06 18:00:00 UTC,10980,
105258365,1121,982,2021-03-06 12:00:00,2021-03-06 19:00:00 UTC,16920,
105348733,1121,982,2021-03-06 13:00:00,2021-03-06 20:00:00 UTC,15060,
105442072,1121,982,2021-03-06 14:00:00,2021-03-06 21:00:00 UTC,17280,
105537265,1121,982,2021-03-06 15:00:00,2021-03-06 22:00:00 UTC,52740,
105634118,1121,982,2021-03-06 16:00:00,2021-03-06 23:00:00 UTC,14640,
105733406,1121,982,2021-03-06 17:00:00,2021-03-07 00:00:00 UTC,9120,
105834085,1121,982,2021-03-06 18:00:00,2021-03-07 01:00:00 UTC,180,
107281564,1121,982,2021-03-07 08:00:00,2021-03-07 15:00:00 UTC,8460,
107391588,1121,982,2021-03-07 09:00:00,2021-03-07 16:00:00 UTC,22980,
107505147,1121,982,2021-03-07 10:00:00,2021-03-07 17:00:00 UTC,33600,
107620870,1121,982,2021-03-07 11:00:00,2021-03-07 18:00:00 UTC,37080,
107738250,1121,982,2021-03-07 12:00:00,2021-03-07 19:00:00 UTC,37020,
107856665,1121,982,2021-03-07 13:00:00,2021-03-07 20:00:00 UTC,51240,
107969385,1121,982,2021-03-07 14:00:00,2021-03-07 21:00:00 UTC,59640,
108091640,1121,982,2021-03-07 15:00:00,2021-03-07 22:00:00 UTC,23640,
108215220,1121,982,2021-03-07 16:00:00,2021-03-07 23:00:00 UTC,16140,
108342424,1121,982,2021-03-07 17:00:00,2021-03-08 00:00:00 UTC,8760,
108471101,1121,982,2021-03-07 18:00:00,2021-03-08 01:00:00 UTC,840,
110059941,1121,982,2021-03-08 07:15:00,2021-03-08 14:15:00 UTC,240,
110185968,1121,982,2021-03-08 08:15:00,2021-03-08 15:15:00 UTC,8220,
110313959,1121,982,2021-03-08 09:15:00,2021-03-08 16:15:00 UTC,29220,
110442061,1121,982,2021-03-08 10:15:00,2021-03-08 17:15:00 UTC,34560,
110571810,1121,982,2021-03-08 11:15:00,2021-03-08 18:15:00 UTC,35880,
110706566,1121,982,2021-03-08 12:15:00,2021-03-08 19:15:00 UTC,12600,
110843334,1121,982,2021-03-08 13:15:00,2021-03-08 20:15:00 UTC,15600,
110981569,1121,982,2021-03-08 14:15:00,2021-03-08 21:15:00 UTC,34920,
111119756,1121,982,2021-03-08 15:15:00,2021-03-08 22:15:00 UTC,15600,
111252131,1121,982,2021-03-08 16:15:00,2021-03-08 23:15:00 UTC,9360,
111392183,1121,982,2021-03-08 17:15:00,2021-03-09 00:15:00 UTC,4800,
97687712,1121,982,2021-03-01 09:15:00,2021-03-01 16:15:00 UTC,540,
97687716,1121,982,2021-03-01 10:15:00,2021-03-01 17:15:00 UTC,1440,
97687720,1121,982,2021-03-01 11:15:00,2021-03-01 18:15:00 UTC,3420,
97687724,1121,982,2021-03-01 12:15:00,2021-03-01 19:15:00 UTC,7440,
97687728,1121,982,2021-03-01 13:15:00,2021-03-01 20:15:00 UTC,21600,
97687732,1121,982,2021-03-01 14:15:00,2021-03-01 21:15:00 UTC,21240,
97687736,1121,982,2021-03-01 15:15:00,2021-03-01 22:15:00 UTC,18360,
97687740,1121,982,2021-03-01 16:15:00,2021-03-01 23:15:00 UTC,15240,
97687744,1121,982,2021-03-01 17:15:00,2021-03-02 00:15:00 UTC,3240,
97687755,1121,982,2021-03-02 08:15:00,2021-03-02 15:15:00 UTC,6300,
97687759,1121,982,2021-03-02 09:15:00,2021-03-02 16:15:00 UTC,19860,
97705706,1121,982,2021-03-02 10:15:00,2021-03-02 17:15:00 UTC,28860,
97714872,1121,982,2021-03-02 11:15:00,2021-03-02 18:15:00 UTC,52320,
97723239,1121,982,2021-03-02 12:15:00,2021-03-02 19:15:00 UTC,31200,
97730633,1121,982,2021-03-02 13:15:00,2021-03-02 20:15:00 UTC,69600,
97737163,1121,982,2021-03-02 14:15:00,2021-03-02 21:15:00 UTC,66960,
97742839,1121,982,2021-03-02 15:15:00,2021-03-02 22:15:00 UTC,52920,
97748042,1121,982,2021-03-02 16:15:00,2021-03-02 23:15:00 UTC,28020,
97752682,1121,982,2021-03-02 17:15:00,2021-03-03 00:15:00 UTC,4680,
98081110,1121,982,2021-03-03 08:15:00,2021-03-03 15:15:00 UTC,15240,
98134054,1121,982,2021-03-03 09:15:00,2021-03-03 16:15:00 UTC,25920,
98188660,1121,982,2021-03-03 10:15:00,2021-03-03 17:15:00 UTC,28680,
98244806,1121,982,2021-03-03 11:15:00,2021-03-03 18:15:00 UTC,50280,
98302682,1121,982,2021-03-03 12:15:00,2021-03-03 19:15:00 UTC,59700,
98363715,1121,982,2021-03-03 13:15:00,2021-03-03 20:15:00 UTC,76980,
98426551,1121,982,2021-03-03 14:15:00,2021-03-03 21:15:00 UTC,76620,
98488405,1121,982,2021-03-03 15:15:00,2021-03-03 22:15:00 UTC,36360,
98555272,1121,982,2021-03-03 16:15:00,2021-03-03 23:15:00 UTC,17820,
98624016,1121,982,2021-03-03 17:15:00,2021-03-04 00:15:00 UTC,3720,
99647038,1121,982,2021-03-04 07:15:00,2021-03-04 14:15:00 UTC,480,
99739424,1121,982,2021-03-04 08:15:00,2021-03-04 15:15:00 UTC,19500,
99823715,1121,982,2021-03-04 09:15:00,2021-03-04 16:15:00 UTC,26700,
99922798,1121,982,2021-03-04 10:15:00,2021-03-04 17:15:00 UTC,28620,
100021390,1121,982,2021-03-04 11:15:00,2021-03-04 18:15:00 UTC,47700,
100124891,1121,982,2021-03-04 12:15:00,2021-03-04 19:15:00 UTC,71640,
100230911,1121,982,2021-03-04 13:15:00,2021-03-04 20:15:00 UTC,69720,
100339017,1121,982,2021-03-04 14:15:00,2021-03-04 21:15:00 UTC,66420,
100449023,1121,982,2021-03-04 15:15:00,2021-03-04 22:15:00 UTC,27120,
100560981,1121,982,2021-03-04 16:15:00,2021-03-04 23:15:00 UTC,32700,
100676823,1121,982,2021-03-04 17:15:00,2021-03-05 00:15:00 UTC,4440,
102330363,1121,982,2021-03-05 07:15:00,2021-03-05 14:15:00 UTC,60,
102456718,1121,982,2021-03-05 08:15:00,2021-03-05 15:15:00 UTC,9600,
102584181,1121,982,2021-03-05 09:15:00,2021-03-05 16:15:00 UTC,24540,
102709136,1121,982,2021-03-05 10:15:00,2021-03-05 17:15:00 UTC,23400,
102839341,1121,982,2021-03-05 11:15:00,2021-03-05 18:15:00 UTC,45660,
102973765,1121,982,2021-03-05 12:15:00,2021-03-05 19:15:00 UTC,74580,
103110660,1121,982,2021-03-05 13:15:00,2021-03-05 20:15:00 UTC,82680,
103249462,1121,982,2021-03-05 14:15:00,2021-03-05 21:15:00 UTC,73080,
103390298,1121,982,2021-03-05 15:15:00,2021-03-05 22:15:00 UTC,49560,
103532846,1121,982,2021-03-05 16:15:00,2021-03-05 23:15:00 UTC,34260,
103677560,1121,982,2021-03-05 17:15:00,2021-03-06 00:15:00 UTC,7800,
104930182,1121,982,2021-03-06 08:15:00,2021-03-06 15:15:00 UTC,4140,
105008416,1121,982,2021-03-06 09:15:00,2021-03-06 16:15:00 UTC,23040,
105088865,1121,982,2021-03-06 10:15:00,2021-03-06 17:15:00 UTC,8460,
105173952,1121,982,2021-03-06 11:15:00,2021-03-06 18:15:00 UTC,14340,
105258366,1121,982,2021-03-06 12:15:00,2021-03-06 19:15:00 UTC,16020,
105348734,1121,982,2021-03-06 13:15:00,2021-03-06 20:15:00 UTC,14280,
105442073,1121,982,2021-03-06 14:15:00,2021-03-06 21:15:00 UTC,26400,
105537266,1121,982,2021-03-06 15:15:00,2021-03-06 22:15:00 UTC,46080,
105634119,1121,982,2021-03-06 16:15:00,2021-03-06 23:15:00 UTC,13020,
105733407,1121,982,2021-03-06 17:15:00,2021-03-07 00:15:00 UTC,3420,
107172045,1121,982,2021-03-07 07:15:00,2021-03-07 14:15:00 UTC,720,
107281565,1121,982,2021-03-07 08:15:00,2021-03-07 15:15:00 UTC,10140,
107391589,1121,982,2021-03-07 09:15:00,2021-03-07 16:15:00 UTC,20940,
107505148,1121,982,2021-03-07 10:15:00,2021-03-07 17:15:00 UTC,23580,
107620871,1121,982,2021-03-07 11:15:00,2021-03-07 18:15:00 UTC,34500,
107738251,1121,982,2021-03-07 12:15:00,2021-03-07 19:15:00 UTC,38160,
107856666,1121,982,2021-03-07 13:15:00,2021-03-07 20:15:00 UTC,50580,
107969386,1121,982,2021-03-07 14:15:00,2021-03-07 21:15:00 UTC,35160,
108091641,1121,982,2021-03-07 15:15:00,2021-03-07 22:15:00 UTC,21420,
108215221,1121,982,2021-03-07 16:15:00,2021-03-07 23:15:00 UTC,18120,
108342425,1121,982,2021-03-07 17:15:00,2021-03-08 00:15:00 UTC,7080,
110059942,1121,982,2021-03-08 07:30:00,2021-03-08 14:30:00 UTC,660,
110185969,1121,982,2021-03-08 08:30:00,2021-03-08 15:30:00 UTC,11100,
110313960,1121,982,2021-03-08 09:30:00,2021-03-08 16:30:00 UTC,21300,
110442062,1121,982,2021-03-08 10:30:00,2021-03-08 17:30:00 UTC,47220,
110571811,1121,982,2021-03-08 11:30:00,2021-03-08 18:30:00 UTC,32760,
110706567,1121,982,2021-03-08 12:30:00,2021-03-08 19:30:00 UTC,9000,
110843335,1121,982,2021-03-08 13:30:00,2021-03-08 20:30:00 UTC,27300,
110981570,1121,982,2021-03-08 14:30:00,2021-03-08 21:30:00 UTC,30000,
111119757,1121,982,2021-03-08 15:30:00,2021-03-08 22:30:00 UTC,10200,
111252132,1121,982,2021-03-08 16:30:00,2021-03-08 23:30:00 UTC,8220,
111392184,1121,982,2021-03-08 17:30:00,2021-03-09 00:30:00 UTC,2220,
97687713,1121,982,2021-03-01 09:30:00,2021-03-01 16:30:00 UTC,780,
97687717,1121,982,2021-03-01 10:30:00,2021-03-01 17:30:00 UTC,1680,
97687721,1121,982,2021-03-01 11:30:00,2021-03-01 18:30:00 UTC,3840,
97687725,1121,982,2021-03-01 12:30:00,2021-03-01 19:30:00 UTC,10020,
97687729,1121,982,2021-03-01 13:30:00,2021-03-01 20:30:00 UTC,23700,
97687733,1121,982,2021-03-01 14:30:00,2021-03-01 21:30:00 UTC,20700,
97687737,1121,982,2021-03-01 15:30:00,2021-03-01 22:30:00 UTC,16320,
97687741,1121,982,2021-03-01 16:30:00,2021-03-01 23:30:00 UTC,12240,
97687745,1121,982,2021-03-01 17:30:00,2021-03-02 00:30:00 UTC,1260,
97687752,1121,982,2021-03-02 07:30:00,2021-03-02 14:30:00 UTC,60,
97687756,1121,982,2021-03-02 08:30:00,2021-03-02 15:30:00 UTC,9300,
97687760,1121,982,2021-03-02 09:30:00,2021-03-02 16:30:00 UTC,15840,
97705707,1121,982,2021-03-02 10:30:00,2021-03-02 17:30:00 UTC,39540,
97714873,1121,982,2021-03-02 11:30:00,2021-03-02 18:30:00 UTC,32040,
97723240,1121,982,2021-03-02 12:30:00,2021-03-02 19:30:00 UTC,47040,
97730634,1121,982,2021-03-02 13:30:00,2021-03-02 20:30:00 UTC,77940,
97737164,1121,982,2021-03-02 14:30:00,2021-03-02 21:30:00 UTC,55380,
97742840,1121,982,2021-03-02 15:30:00,2021-03-02 22:30:00 UTC,52860,
97748043,1121,982,2021-03-02 16:30:00,2021-03-02 23:30:00 UTC,19140,
97752683,1121,982,2021-03-02 17:30:00,2021-03-03 00:30:00 UTC,2280,
98029891,1121,982,2021-03-03 07:30:00,2021-03-03 14:30:00 UTC,1140,
98081111,1121,982,2021-03-03 08:30:00,2021-03-03 15:30:00 UTC,20700,
98134055,1121,982,2021-03-03 09:30:00,2021-03-03 16:30:00 UTC,23820,
98188661,1121,982,2021-03-03 10:30:00,2021-03-03 17:30:00 UTC,35820,
98244807,1121,982,2021-03-03 11:30:00,2021-03-03 18:30:00 UTC,54540,
98302683,1121,982,2021-03-03 12:30:00,2021-03-03 19:30:00 UTC,60960,
98363716,1121,982,2021-03-03 13:30:00,2021-03-03 20:30:00 UTC,73980,
98426552,1121,982,2021-03-03 14:30:00,2021-03-03 21:30:00 UTC,69240,
98488406,1121,982,2021-03-03 15:30:00,2021-03-03 22:30:00 UTC,26760,
98555273,1121,982,2021-03-03 16:30:00,2021-03-03 23:30:00 UTC,12840,
98624017,1121,982,2021-03-03 17:30:00,2021-03-04 00:30:00 UTC,2280,
99647039,1121,982,2021-03-04 07:30:00,2021-03-04 14:30:00 UTC,2520,
99739425,1121,982,2021-03-04 08:30:00,2021-03-04 15:30:00 UTC,22680,
99823716,1121,982,2021-03-04 09:30:00,2021-03-04 16:30:00 UTC,27000,
99922799,1121,982,2021-03-04 10:30:00,2021-03-04 17:30:00 UTC,34680,
100021391,1121,982,2021-03-04 11:30:00,2021-03-04 18:30:00 UTC,53400,
100124892,1121,982,2021-03-04 12:30:00,2021-03-04 19:30:00 UTC,73980,
100230912,1121,982,2021-03-04 13:30:00,2021-03-04 20:30:00 UTC,67080,
100339018,1121,982,2021-03-04 14:30:00,2021-03-04 21:30:00 UTC,58920,
100449024,1121,982,2021-03-04 15:30:00,2021-03-04 22:30:00 UTC,23580,
100560982,1121,982,2021-03-04 16:30:00,2021-03-04 23:30:00 UTC,7140,
100676824,1121,982,2021-03-04 17:30:00,2021-03-05 00:30:00 UTC,2820,
102330364,1121,982,2021-03-05 07:30:00,2021-03-05 14:30:00 UTC,1260,
102456719,1121,982,2021-03-05 08:30:00,2021-03-05 15:30:00 UTC,11160,
102584182,1121,982,2021-03-05 09:30:00,2021-03-05 16:30:00 UTC,23820,
102709137,1121,982,2021-03-05 10:30:00,2021-03-05 17:30:00 UTC,28200,
102839342,1121,982,2021-03-05 11:30:00,2021-03-05 18:30:00 UTC,51420,
102973766,1121,982,2021-03-05 12:30:00,2021-03-05 19:30:00 UTC,79440,
103110661,1121,982,2021-03-05 13:30:00,2021-03-05 20:30:00 UTC,77820,
103249463,1121,982,2021-03-05 14:30:00,2021-03-05 21:30:00 UTC,67320,
103390299,1121,982,2021-03-05 15:30:00,2021-03-05 22:30:00 UTC,45600,
103532847,1121,982,2021-03-05 16:30:00,2021-03-05 23:30:00 UTC,19260,
103677561,1121,982,2021-03-05 17:30:00,2021-03-06 00:30:00 UTC,5520,
104853855,1121,982,2021-03-06 07:30:00,2021-03-06 14:30:00 UTC,540,
104930183,1121,982,2021-03-06 08:30:00,2021-03-06 15:30:00 UTC,7260,
105008417,1121,982,2021-03-06 09:30:00,2021-03-06 16:30:00 UTC,19920,
105088866,1121,982,2021-03-06 10:30:00,2021-03-06 17:30:00 UTC,10380,
105173953,1121,982,2021-03-06 11:30:00,2021-03-06 18:30:00 UTC,16260,
105258367,1121,982,2021-03-06 12:30:00,2021-03-06 19:30:00 UTC,15300,
105348735,1121,982,2021-03-06 13:30:00,2021-03-06 20:30:00 UTC,15180,
105442074,1121,982,2021-03-06 14:30:00,2021-03-06 21:30:00 UTC,31680,
105537267,1121,982,2021-03-06 15:30:00,2021-03-06 22:30:00 UTC,26520,
105634120,1121,982,2021-03-06 16:30:00,2021-03-06 23:30:00 UTC,22920,
105733408,1121,982,2021-03-06 17:30:00,2021-03-07 00:30:00 UTC,1920,
107172046,1121,982,2021-03-07 07:30:00,2021-03-07 14:30:00 UTC,3120,
107281566,1121,982,2021-03-07 08:30:00,2021-03-07 15:30:00 UTC,11820,
107391590,1121,982,2021-03-07 09:30:00,2021-03-07 16:30:00 UTC,24900,
107505149,1121,982,2021-03-07 10:30:00,2021-03-07 17:30:00 UTC,44580,
107620872,1121,982,2021-03-07 11:30:00,2021-03-07 18:30:00 UTC,47580,
107738252,1121,982,2021-03-07 12:30:00,2021-03-07 19:30:00 UTC,51600,
107856667,1121,982,2021-03-07 13:30:00,2021-03-07 20:30:00 UTC,42660,
107969387,1121,982,2021-03-07 14:30:00,2021-03-07 21:30:00 UTC,28380,
108091642,1121,982,2021-03-07 15:30:00,2021-03-07 22:30:00 UTC,18540,
108215222,1121,982,2021-03-07 16:30:00,2021-03-07 23:30:00 UTC,14520,
108342426,1121,982,2021-03-07 17:30:00,2021-03-08 00:30:00 UTC,5700,
110059943,1121,982,2021-03-08 07:45:00,2021-03-08 14:45:00 UTC,2040,
110185970,1121,982,2021-03-08 08:45:00,2021-03-08 15:45:00 UTC,13560,
110313961,1121,982,2021-03-08 09:45:00,2021-03-08 16:45:00 UTC,20400,
110442063,1121,982,2021-03-08 10:45:00,2021-03-08 17:45:00 UTC,26700,
110571812,1121,982,2021-03-08 11:45:00,2021-03-08 18:45:00 UTC,19740,
110706568,1121,982,2021-03-08 12:45:00,2021-03-08 19:45:00 UTC,7980,
110843336,1121,982,2021-03-08 13:45:00,2021-03-08 20:45:00 UTC,33420,
110981571,1121,982,2021-03-08 14:45:00,2021-03-08 21:45:00 UTC,48540,
111119758,1121,982,2021-03-08 15:45:00,2021-03-08 22:45:00 UTC,6780,
111252133,1121,982,2021-03-08 16:45:00,2021-03-08 23:45:00 UTC,6840,
111392185,1121,982,2021-03-08 17:45:00,2021-03-09 00:45:00 UTC,540,
97429688,1121,982,2021-03-01 08:45:00,2021-03-01 15:45:00 UTC,60,
97687714,1121,982,2021-03-01 09:45:00,2021-03-01 16:45:00 UTC,1080,
97687718,1121,982,2021-03-01 10:45:00,2021-03-01 17:45:00 UTC,2340,
97687722,1121,982,2021-03-01 11:45:00,2021-03-01 18:45:00 UTC,4560,
97687726,1121,982,2021-03-01 12:45:00,2021-03-01 19:45:00 UTC,14580,
97687730,1121,982,2021-03-01 13:45:00,2021-03-01 20:45:00 UTC,22140,
97687734,1121,982,2021-03-01 14:45:00,2021-03-01 21:45:00 UTC,22680,
97687738,1121,982,2021-03-01 15:45:00,2021-03-01 22:45:00 UTC,14640,
97687742,1121,982,2021-03-01 16:45:00,2021-03-01 23:45:00 UTC,10380,
97687746,1121,982,2021-03-01 17:45:00,2021-03-02 00:45:00 UTC,300,
97687753,1121,982,2021-03-02 07:45:00,2021-03-02 14:45:00 UTC,1140,
97687757,1121,982,2021-03-02 08:45:00,2021-03-02 15:45:00 UTC,13740,
97687761,1121,982,2021-03-02 09:45:00,2021-03-02 16:45:00 UTC,16920,
97705708,1121,982,2021-03-02 10:45:00,2021-03-02 17:45:00 UTC,39000,
97714874,1121,982,2021-03-02 11:45:00,2021-03-02 18:45:00 UTC,28860,
97723241,1121,982,2021-03-02 12:45:00,2021-03-02 19:45:00 UTC,49920,
97730635,1121,982,2021-03-02 13:45:00,2021-03-02 20:45:00 UTC,75120,
97737165,1121,982,2021-03-02 14:45:00,2021-03-02 21:45:00 UTC,62280,
97742841,1121,982,2021-03-02 15:45:00,2021-03-02 22:45:00 UTC,41940,
97748044,1121,982,2021-03-02 16:45:00,2021-03-02 23:45:00 UTC,12420,
97752684,1121,982,2021-03-02 17:45:00,2021-03-03 00:45:00 UTC,780,
98029892,1121,982,2021-03-03 07:45:00,2021-03-03 14:45:00 UTC,4500,
98081112,1121,982,2021-03-03 08:45:00,2021-03-03 15:45:00 UTC,22080,
98134056,1121,982,2021-03-03 09:45:00,2021-03-03 16:45:00 UTC,20280,
98188662,1121,982,2021-03-03 10:45:00,2021-03-03 17:45:00 UTC,42300,
98244808,1121,982,2021-03-03 11:45:00,2021-03-03 18:45:00 UTC,56460,
98302684,1121,982,2021-03-03 12:45:00,2021-03-03 19:45:00 UTC,65040,
98363717,1121,982,2021-03-03 13:45:00,2021-03-03 20:45:00 UTC,74100,
98426553,1121,982,2021-03-03 14:45:00,2021-03-03 21:45:00 UTC,63720,
98488407,1121,982,2021-03-03 15:45:00,2021-03-03 22:45:00 UTC,22560,
98555274,1121,982,2021-03-03 16:45:00,2021-03-03 23:45:00 UTC,8520,
98624018,1121,982,2021-03-03 17:45:00,2021-03-04 00:45:00 UTC,1140,
99647040,1121,982,2021-03-04 07:45:00,2021-03-04 14:45:00 UTC,7080,
99739426,1121,982,2021-03-04 08:45:00,2021-03-04 15:45:00 UTC,23940,
99823717,1121,982,2021-03-04 09:45:00,2021-03-04 16:45:00 UTC,23580,
99922800,1121,982,2021-03-04 10:45:00,2021-03-04 17:45:00 UTC,39960,
100021392,1121,982,2021-03-04 11:45:00,2021-03-04 18:45:00 UTC,57720,
100124893,1121,982,2021-03-04 12:45:00,2021-03-04 19:45:00 UTC,73380,
100230913,1121,982,2021-03-04 13:45:00,2021-03-04 20:45:00 UTC,67320,
100339019,1121,982,2021-03-04 14:45:00,2021-03-04 21:45:00 UTC,42660,
100449025,1121,982,2021-03-04 15:45:00,2021-03-04 22:45:00 UTC,23700,
100560983,1121,982,2021-03-04 16:45:00,2021-03-04 23:45:00 UTC,5940,
